Date,PCR,IV_C,STD_C,IV_P,STD_P
2021-05-27,1.201044491,0.118831161,0.055389947,0.218373973,0.085592988
2021-05-28,1.599983104,0.11058187,0.089873849,0.2018767,0.104448682
2021-05-31,1.456406152,0.084216399,0.071952183,0.178703807,0.121477144
2021-06-01,2.608023369,0.048355648,0.029427547,0.119898324,0.104775767
2021-06-02,1.15813171,0.042231525,0.042796141,0.077598152,0.100160672
2021-06-03,1.234962115,0.121989941,0.026740279,0.208065318,0.089709356
2021-06-04,1.115283245,0.127271053,0.025838855,0.20640627,0.108703834
2021-06-07,1.014901338,0.125903819,0.069885514,0.202606418,0.104950102
2021-06-08,0.97488147,0.113009118,0.077118504,0.174702451,0.169844829
2021-06-09,0.652079209,0.098238198,0.095473718,0.090253786,0.103619657
2021-06-10,0.897550835,0.172514354,0.131469961,0.283935252,0.106990914
2021-06-11,1.516855746,0.160314652,0.080360945,0.28104638,0.202404741
2021-06-15,2.240377752,0.212122257,0.214667878,0.348580501,0.258000142
2021-06-16,1.051932868,0.307797399,0.354735956,0.285366722,0.385008337
2021-06-17,0.944635411,0.065449588,0.046432054,0.109246027,0.043738047
2021-06-18,1.141804048,0.064124726,0.019482806,0.080294873,0.027412378
2021-06-21,0.932144481,0.07622507,0.04273929,0.100218451,0.072521729
2021-06-22,1.092188804,0.057265444,0.050455294,0.055161762,0.050195875
2021-06-23,2.656019575,0.04110488,0.054019991,0.063637713,0.059607282
2021-06-24,1.639861428,0.080225401,0.058386303,0.125777469,0.072534929
2021-06-25,1.406866582,0.066830769,0.022865502,0.101424193,0.069151622
2021-06-28,1.988776382,0.052052077,0.03171298,0.08304611,0.044803673
2021-06-29,1.304651419,0.050565256,0.033299043,0.059938449,0.046597124
2021-06-30,1.803275104,0.046132869,0.053288132,0.048563008,0.050754818
2021-07-01,1.113897916,0.084192954,0.021810082,0.121711937,0.0465463
2021-07-02,0.773409531,0.077566838,0.029264828,0.11057691,0.046486599
2021-07-05,1.913325835,0.055554325,0.027102107,0.107967733,0.059647356
2021-07-06,1.010304119,0.057984891,0.026374407,0.071152009,0.06332718
2021-07-07,0.9315665,0.041328488,0.033062506,0.061932642,0.072757754
2021-07-08,1.374889451,0.095782568,0.037455908,0.160279493,0.058524881
