TrmTerm(法律名詞),TrmContent(解釋),JtIds(M：刑事、F：家事、G：一般、V：民事、A：行政)
干預行政,干預行政或稱干涉行政，為公權力行政中常見的行為方式，是指國家機關作成會侵害人民權益或課予義務的行政行為，通常是用命令方式為之，多屬負擔處分，例如課徵稅捐、徵收土地或警察機關下令禁止通行。另於必要時亦得採取強制手段，例如警察為排除侵害或預防危險的強制措施。因為干預行政是直接限制人民權利或自由的行政行為，通常要有法律或法規命令的依據，才可以實施。,A             
顯非無疑,顯然還有疑問、還有可以存疑之處。,G             
行政主體,"在行政法上享有權利和負擔義務的法律主體，除了具有一定職權且得設置行政機關以實現其行政任務的公法人（例如國家、各縣、市、鄉鎮、農田水利會等）外，也包含受委託獨立行使公權力的私人。行政主體經常透過行政機關與人民建立行政法律關係，但因此所生的權利義務關係則歸屬於行政主體，而非行政機關。
例如：國家透過國稅局（行政機關）向人民課徵應納的稅賦，但該稅捐徵收的權利是歸屬於國家，而非國稅局。",A             
繼續性一行為,行政罰中，繼續性一行為係指以持續之行為時間一次實現違反行政法上義務構成要件行為。舉例而言，持續期間內之無照營業，法律上仍視為單一行為。,A             
不無可議,（某件事情）還有值得探究的地方,G             
公共秩序,解釋一：一種不成文規範的整體，依當時社會或倫理上主流觀點，在特定領域是人類有序共同生活的前提。解釋二：「公共秩序」指國家社會之一般的要求或利益之行為規範。民法第72條規定，法律行為有背於公共秩序或善良風俗者無效。例如：當事人立約訂定「不得再以任何方式追究他方刑責」，如其真意係拋棄刑事訴訟權，即有違憲法第16條保障訴訟權之意旨（最高法院87年度台上字第2000號民事判決意旨參照），違背公共秩序而無效。,A             
法所不容許的風險,在發生一定結果的犯罪（如殺人罪），必須行為（殺）與結果（人死亡）有因果關係才能成立。但並非只要行為造成了結果，就會受到處罰；刑法學者認為，必須行為創造並且實現法所不容許的風險，結果始歸由行為人負責。例如，甲慫恿乙外出散步，結果乙碰巧被雷擊中死亡，原則上甲的行為仍不能認為創造了法所不容許的風險。,M             
聲請再審,對於已經確定的裁定，當事人如果認為有行政訴訟法第273條、第274條規定的再審事由（如適用法規顯有錯誤等），請求法院更為審判的程序。,A             
即非法所不許,符合法律規定,G             
迺,竟然、居然。,G             
自助行為,"又稱為自救行為或自力救濟，是指行為人為了保護自己的權利，而採用法律所容許的權利保全措施。自助行為是一種「適法行為」，因此行為人不須對拘束他人自由或破壞他人財產等行為負賠償責任。自助行為不能超過保全權利所必要的程度，並應具備下列要件：1.必須是保護自己的權利、2.必須時機急迫，來不及請求法院或其他有關公權力機關的協助、3.如果不立即為自助行為，日後就不得實行或實行顯然有困難。例如：甲向乙借款1,000萬元，甲因無力還款準備變賣財物搭機潛逃海外，乙獲知後為了避免債權日後無法受償，於是趕往機場逮住甲，並扣留甲的護照等證件。乙扣留甲和護照等「自助行為」，雖然侵害債務人甲的權利，但可以主張是「自助行為」而阻卻違法。",V             
獨立董事,係指由具備專業能力，並與公司間沒有直接或間接利害關係之人(例如未於公司任職，未持有一定比例股份之股東、非公司經營上之關係人等)擔任公司之董事，藉其專業與獨立性，監督公司之經營及保護股東權益。,V             
報明債權,請參考「陳報債權」的解釋。,F             
否准,不准。,A             
必要共犯,共犯在學理上，有「任意共犯」與「必要共犯」之分，任意共犯係指一般原得由一人單獨完成之犯罪，而由二人以上共同實施之情形，當然有刑法總則共犯規定之適用；必要共犯係指須有二人以上之參與實施始能成立之犯罪而言。「必要共犯」依犯罪之性質，尚可分為「聚合犯」與「對向犯」，其二人以上朝同一目標共同參與犯罪之實施者，謂之「聚合犯」，如刑法分則之公然聚眾施強暴、脅迫罪、參與犯罪結社罪等是，因其本質上即屬共同正犯，故除法律依其首謀、下手實施或在場助勢等參與犯罪程度之不同，而異其刑罰之規定時，各參與不同程度犯罪行為者之間，不能適用刑法總則共犯之規定外，其餘均應適用刑法第二十八條共同正犯之規定。而「對向犯」則係二個或二個以上之行為者，彼此相互對立之意思經合致而成立之犯罪，如賄賂、賭博、重婚等罪均屬之，因行為者各有其目的，各就其行為負責，彼此間無所謂犯意之聯絡，苟法律上僅處罰其中部分行為者，其餘對向行為縱然對之不無教唆或幫助等助力，仍不能成立該處罰行為之教唆、幫助犯或共同正犯。若對向之二個以上行為，法律上均有處罰之明文，當亦無適用刑法第二十八條共同正犯之餘地。,M             
不啻,「不僅是」、「何止」的意思。,F             
概括條款,立法者制定法律時，雖然希望能夠儘量清楚的逐一規定，以符合民眾需求，但有時必須保留一些彈性，讓法院或其他機關，能夠因應社會變化及人生百態，做出合宜的解釋，並避免因為法律無法即時修改造成無法解決問題的困境。所以有些法律會訂定概括條款，例如民法第72條規定，違背「公共秩序」或「善良風俗」的法律行為無效。第1052條第2項規定有前項以外的「重大事由，難以維持婚姻」可以請求離婚，此時有沒有違背「公共秩序」或「善良風俗」，有沒有難以維持婚姻的其他「重大事由」，就會由法院或相關機關依照個案狀況認定。,F             
新訴訟標的理論,以原告起訴時所表明的「訴之聲明」及「原因事實」所共同呈現對被告所請求之法律上地位（受給地位與形成地位），作為解釋、認定訴訟標的之權利義務法律關係之標準。有別於舊訴訟標的理論，係直接以實體法上具體權利（如請求權、形成權等）作為訴訟標的。,V             
稽之,依據,G             
囑託送達,於外國或境外、或對特殊身分或場所送達司法文件，可能會有實際上的困難，為解決這樣的問題，法律規定於特殊情況發生時，可以請特定機關或特定人幫忙送達。例如被告如果在監獄中，訴訟文書應該請監獄的長官幫忙送達給被告。,M             
實難知悉,實在很難以知道的意思。,G             
非特,不但。,A             
標的物,當事人在法院爭執的東西，就是標的物。,F             
抗辯,一方當事人主張或行使權利時，他方當事人所提出的反駁或異議，稱為抗辯。也就是為了對抗他方所提出對自己不利的主張，而提出對自己有利的事實或權利。例如：甲主張乙曾向其借100萬元至今未還，起訴請求乙應返還借款100萬元，但乙反駁甲也曾向他借款60萬元沒有還，所以就60萬元部分可以抵銷，這種情形乙就是以「抵銷」為抗辯（民法第334條）；或者乙主張甲曾經對他說過：「這筆借款不用還了」，乙就是以「免除」為抗辯（民法第343條）。,V             
